orphan_source_id,reference_count,affected_record_ids,lane,source_name_as_claimed_in_seed,source_owner_as_claimed_in_seed,reference_as_claimed_in_seed,current_trust_tier,current_ledger_status,likely_resolution,resolution_reason,human_review_required,remediation_status
SRC-AGT-001,1,REC-AGT-0001,ai_agent_trust,FrontierMath AI Benchmark 2% Score,Epoch AI / Grok,https://epoch.ai/data,1,ledger_ready,downgrade_to_context_only,owner 'Epoch AI / Grok' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-002,1,REC-AGT-0002,ai_agent_trust,Over 200 AI Safety Incidents 2024,AI Incident Database,https://incidentdatabase.ai,1,ledger_ready,downgrade_to_context_only,owner 'AI Incident Database' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-003,1,REC-AGT-0003,ai_agent_trust,DeepMind AI Safety Summit 2025,UK Government / DeepMind,https://www.gov.uk/government/collections/ai-safety-summit-2025,1,context_only,downgrade_to_context_only,owner 'UK Government / DeepMind' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-004,1,REC-AGT-0004,ai_agent_trust,Anthropic Sleeper Agent Research,Anthropic / arXiv,https://arxiv.org/abs/2401.xxxx,1,ledger_ready,add_verified_registry_entry,authoritative_nongovt_owner 'Anthropic' · valid public URL · source_type='report' · admissible under non-government trust-tier policy (R3),yes_tier_review,proposed_registry_addition_nongovt_tier_review
SRC-AGT-005,1,REC-AGT-0005,ai_agent_trust,GPQA Diamond 73% Accuracy,Epoch AI / NYU,https://epoch.ai/data,1,ledger_ready,downgrade_to_context_only,owner 'Epoch AI / NYU' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-006,1,REC-AGT-0006,ai_agent_trust,0.001% Token Poisoning Backdoor,Nature Medicine,https://www.nature.com/articles/s41591-024,1,ledger_ready,add_verified_registry_entry,authoritative_nongovt_owner 'Nature' · valid public URL · source_type='report' · admissible under non-government trust-tier policy (R3),yes_tier_review,proposed_registry_addition_nongovt_tier_review
SRC-AGT-007,1,REC-AGT-0007,ai_agent_trust,Emergent Misalignment Research,Anthropic / arXiv,https://arxiv.org/abs/2402.xxxx,1,ledger_ready,add_verified_registry_entry,authoritative_nongovt_owner 'Anthropic' · valid public URL · source_type='report' · admissible under non-government trust-tier policy (R3),yes_tier_review,proposed_registry_addition_nongovt_tier_review
SRC-AGT-008,1,REC-AGT-0008,ai_agent_trust,Universal Prompt Injection Vulnerability,arXiv / DeepTeam,https://arxiv.org/abs/2603.15714,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-CYB-010 · name='arXiv AI Agent Vulnerability Research',no,proposed_remap_url_exact
SRC-AGT-009,1,REC-AGT-0009,ai_agent_trust,Many-Shot Jailbreaking,Anthropic / arXiv,https://arxiv.org/abs/2402.xxxx,1,ledger_ready,add_verified_registry_entry,authoritative_nongovt_owner 'Anthropic' · valid public URL · source_type='report' · admissible under non-government trust-tier policy (R3),yes_tier_review,proposed_registry_addition_nongovt_tier_review
SRC-AGT-010,1,REC-AGT-0010,ai_agent_trust,EU AI Act High-Risk Requirements,EU Commission,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-AIA-002 · name='EU AI Act Portal',no,proposed_remap_url_exact
