source_id,source_name,source_owner,domain_or_agency,source_type,lane,data_available,format_available,date_range,update_frequency,access_method,contains_narratives,contains_outcomes,contains_dollar_loss,contains_remedies,contains_pii_risk,terms_or_reuse_notes,trust_tier,corpus_value_score_1_to_10,recommended_use,limitations,primary_source_confirmed_yes_no,citation_or_reference
SRC-FIN-001,CFPB Consumer Complaint Database,CFPB,consumerfinance.gov,database,consumer_financial,"13.8M+ complaints since 2011; 17 fields: product, issue, sub-issue, company, response, narrative, state, ZIP, tags, dates",csv|json|api,2011-present,daily,api,yes,yes,yes,yes,yes,Public domain; federal government work; no auth required; PII scrubbing required for ZIP/narratives,1,10,ledger_ready,Narratives opt-in only (~40%); ZIP codes quasi-identifiable,yes,https://www.consumerfinance.gov/data-research/consumer-complaints/
SRC-FIN-002,CFPB Consumer Response Annual Report 2025,CFPB,consumerfinance.gov,report,consumer_financial,"6.6M complaints in 2025, product breakdown, outcomes, company response rates, trends, geographic data",pdf|csv,2011-2025,annual,download,no,yes,yes,yes,no,Public domain; federal government publication,1,10,ledger_ready,Aggregate data only; no individual narratives,yes,https://files.consumerfinance.gov/f/documents/cfpb_2025-cr-annual-report_2026-03.pdf
SRC-FIN-003,CFPB FCRA 611(e) Annual Report,CFPB,consumerfinance.gov,report,consumer_financial,"~4.6M NCRA complaints Jan 2024-Jun 2025, dispute resolution analysis, furnisher error rates, CRA response quality",pdf,2012-2025,annual,download,no,yes,yes,no,no,Public domain; federal government report,1,9,ledger_ready,Bureau-level comparison data; no individual consumer records,yes,https://files.consumerfinance.gov/f/documents/cfpb_fcra-611e-report_2025-12.pdf
SRC-FIN-004,CFPB Enforcement Actions Database,CFPB,consumerfinance.gov,database,consumer_financial,"All public enforcement actions, consent orders, press releases, case documents with dollar amounts",html|pdf,2011-present,weekly,url,yes,yes,yes,yes,no,Public domain; court/administrative records,1,10,ledger_ready,Some cases dismissed under 2025 leadership; may need status verification,yes,https://www.consumerfinance.gov/enforcement/actions/
SRC-FIN-005,CFPB Enforcement by the Numbers,CFPB,consumerfinance.gov,dataset,consumer_financial,"$19.7B consumer relief, 195M people eligible, $5B civil penalties, yearly CSV data",csv|html,2011-2025,periodic,download,no,yes,yes,yes,no,Public domain; federal statistics,1,9,ledger_ready,Updated through Jan 2025; post-leadership updates may lag,yes,https://www.consumerfinance.gov/enforcement/enforcement-by-the-numbers/
SRC-FIN-006,FTC Consumer Sentinel Network Data Book 2024,FTC,ftc.gov,report,consumer_financial,"6.47M reports, fraud losses, identity theft, payment methods, demographics, state breakdowns",pdf|csv,1997-2024,annual,download,no,yes,yes,no,no,Public domain; federal government report; restricted law enforcement access for granular data,1,10,ledger_ready,Public dashboards are summaries; granular data restricted to law enforcement,yes,https://www.ftc.gov/reports/consumer-sentinel-network-data-book-2024
SRC-FIN-007,FTC IdentityTheft.gov,FTC,ftc.gov,api,consumer_financial,"1.1M+ identity theft reports annually, complaint narratives, recovery plans, affidavit data",api|json,ongoing,daily,api,yes,yes,yes,no,yes,Public domain; FTC consumer reporting portal; PII handling required,1,9,context,Individual-level data requires privacy safeguards,yes,https://www.identitytheft.gov
SRC-FIN-008,FTC ExploreData Dashboards,FTC,ftc.gov,api,consumer_financial,"State-level fraud breakdowns, age demographics, payment methods, quarterly updates",api|json,5-year rolling,quarterly,api,no,yes,yes,no,no,Public domain; open data API,1,8,ledger_ready,Aggregate data; public Tableau dashboards,yes,https://www.ftc.gov/exploredata
SRC-FIN-009,CFPB FDCPA Annual Report 2025,CFPB,consumerfinance.gov,report,consumer_financial,"Debt collection enforcement statistics, FTC/CPSC/DOJ enforcement data",pdf,2013-2025,annual,download,no,yes,yes,no,no,Public domain; federal statutory report,1,7,context,Annual only; enforcement trend analysis,yes,https://www.consumerfinance.gov
SRC-FIN-010,Federal Reserve Consumer Complaint Data,Federal Reserve,federalreserve.gov,report,consumer_financial,"8,355 complaints for Fed-supervised institutions in 2024, themes and trends",pdf,2014-2024,annual,download,no,yes,yes,no,no,Public domain; federal government data,1,7,context,Smaller volume; Fed-supervised institutions only,yes,https://www.consumercomplianceoutlook.org
